rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
8/p4p2/2p2P2/2Np1k1K/1pP1pPp1/6P1/1PQPP3/8 w - - acn 1155427; acs 2; bm Kh6 Nd7 Qa4 cxd5; ce 32756; dm 6; pv cxd5 Kxf6 Qxe4 Kg7 Nd7 f6 Qe7+ Kg8 Nxf6+ Kh8 Qf8#;
8/p4p2/2p2P2/2Np1k1K/1pP1pPp1/6P1/1PQPP3/8 w - - acn 1154802; acs 2; bm Kh6 Nd7 Qa4 cxd5; ce 32756; dm 6; pv cxd5 Kxf6 Qxe4 Kg7 Nd7 f6 Qe7+ Kg8 Nxf6+ Kh8 Qf8#;
8/p4bn1/4p3/4Kp2/3B4/1k5p/2N5/2R5 w - - acn 204343; acs 0; bm Ba1; ce 32756; dm 6; pv Ba1 Ka4 Nd4 Ka5 Rc6 Ka4 Bc3 a5 Ra6 h2 Rxa5#;
8/p4Bn1/r3b1KB/p2Nk1b1/3pp3/8/6r1/8 b - - acn 951083; acs 1; bm Bc1+ Bd2+ Be3+ Bf5+ Bxd5+ Bxf7+ Bxh6+ Ne8 Nf5; ce 32756; dm 6; pv Bxh6+ Kh7 Ne8 Nb6 Bf5+ Bg6 Nf6+ Kh8 axb6 Bh7 Bg7#;
8/p3rpk1/1p1R1nnp/5qp1/8/PQ2PP1P/r4BKP/3B1R2 b - - acn 423805; acs 1; bm Nh4+; ce 32756; dm 6; pv Nh4+ Kh1 Qxh3 Qxf7+ Rxf7 Rg1 Rxf2 Rxg5+ hxg5 f4 Rf1#;
8/p3r1p1/1P1N2p1/4P3/2P2k2/3P4/4P3/2K3Q1 w - - acn 1492760; acs 3; bm Qd4+ e3+; ce 32756; dm 6; pv e3+ Kf3 Ne4 Ke2 Qf2+ Kxd3 Nd6 Kc3 Qb2+ Kd3 Qd2#;
8/p3r1p1/1P1N2p1/4P3/2P2k2/3P4/4P3/2K3Q1 w - - acn 1492221; acs 2; bm Qd4+ e3+; ce 32756; dm 6; pv e3+ Kf3 Ne4 Ke2 Qf2+ Kxd3 Nd6 Kc3 Qb2+ Kd3 Qd2#;
8/p3p3/P3B3/K3P3/5N2/k7/prp5/bbB5 w - - acn 59583; acs 0; bm Bc4; ce 32756; dm 6; pv Bc4 e6 Nd5 exd5 e6 d4 e7 d3 e8=Q d2 Qe3#;
8/p3p3/N3p3/4p3/B1kpK3/P7/3P1B2/8 w - - acn 226855; acs 0; bm Be1 Bg1 Bg3 Bh4 Nc7; ce 32756; dm 6; pv Nc7 a6 Na8 a5 Bg3 d3 Bh4 Kc5 Bxe7+ Kc4 Nb6#;
8/p3p3/N3p3/4p1p1/B1kpK2p/P6P/3P1B2/8 w - - acn 279162; acs 1; bm Be1; ce 32756; dm 6; pv Be1 d3 Nb8 g4 Bf2 g3 Bg1 g2 Nc6 a6 Na5#;
8/p3p3/8/4P3/6K1/5p2/5kNp/8 b - - acn 67195; acs 0; bm fxg2; ce 32756; dm 6; pv fxg2 Kf4 h1=Q Ke4 g1=Q+ Kd4 Qd1+ Kc4 Qhd5+ Kb4 Q1b3#;
8/p3p1N1/4P1R1/2b1p3/2N1pk2/4p3/4K3/8 w - - acn 188444; acs 0; bm Na5; ce 32756; dm 6; pv Na5 a6 Nc6 a5 Nd8 a4 Nf7 a3 Nh6 a2 Nh5#;
8/p3R3/3p1pkp/2pP2p1/2P3Q1/7P/Prq2PPK/8 w - - acn 179828; acs 0; bm Qe6; ce 32756; dm 6; pv Qe6 h5 Qf7+ Kf5 Re6 Kf4 g3+ Kf3 Qxf6+ Qf5 Qxf5#;
8/p3P2q/r3p1R1/p1ppk2b/1p1N1n2/r5n1/2Rb2pB/1K6 b - - acn 352750; acs 1; bm Bxg6; ce 32756; dm 6; pv Bxg6 Nf3+ Rxf3 e8=Q Bxc2+ Ka1 Bc3+ Ka2 Bb1+ Kb3 Qc2#;
8/p3N3/p7/2p1p3/KPRbk3/4p1P1/2P1P3/8 w - - acn 111898; acs 0; bm bxc5; ce 32756; dm 6; pv bxc5 a5 c3 a6 Kb3 a4+ Rxa4 a5 Kc4 Bxc3 Kxc3#;
8/p3N3/Pp3B2/1Pp2p2/1p2kP2/3pP3/b2p2P1/3N1K2 w - - acn 261500; acs 1; bm Bg5; ce 32756; dm 6; pv Bg5 Be6 Bh6 Bd7 Bg7 Bc6 bxc6 c4 Nf2+ Kxe3 Nd5#;
8/p3K3/1p6/1k4p1/4p3/1P1N3n/6q1/3Q4 w - - acn 104680; acs 0; bm Qc1; ce 32756; dm 6; pv Qc1 Qc2 Qxc2 Ka6 Qc8+ Ka5 Qc6 b5 Qc7+ Ka6 Nb4#;
8/p3B3/4PPBb/KNPP4/2k5/1p1R4/2np4/3br3 w - - acn 299511; acs 1; bm Nd6+; ce 32756; dm 6; pv Nd6+ Kxc5 Nb5+ Kc4 Bf5 Be3 Nd6+ Kc5 Nf7+ Kc4 Ne5#;
8/p2r4/8/8/P3n3/8/3k1p2/2R2K2 b - - acn 128652; acs 0; bm Kxc1 Rg7; ce 32756; dm 6; pv Rg7 Rc2+ Kxc2 Ke2 f1=Q+ Kxf1 Kd3 a5 a6 Ke1 Rg1#;
8/p2ppp2/3pkp2/3p1p2/3P1P1N/3PKP2/3PPP2/8 w - - acn 150; acs 0; bm Ng2; ce 32756; dm 6; pv Ng2 a6 Ne1 a5 Nc2 a4 Nb4 a3 Na6 a2 Nc7#;
8/p2pn3/2p1p2q/6p1/Pk6/1N1P1p1p/1PP2b1B/R2K4 w - - acn 79494; acs 0; bm Bc7; ce 32756; dm 6; pv Bc7 Bb6 Bd6+ c5 Bf4 g4 Bxh6 c4 Bd2+ c3 bxc3#;
8/p2p4/Kp1P4/1R5p/pNk4P/R7/8/8 w - - acn 604820; acs 1; bm Nc6 Nd3 Nd5; ce 32756; dm 6; pv Nc6 dxc6 d7 c5 Rb2 Kd4 d8=Q+ Ke4 Re2+ Kf4 Qg5#;
8/p2p4/3p2P1/8/1N1b4/B4P2/p1K5/k7 w - - acn 164543; acs 0; bm Na6 Nd3 Nd5 f4; ce 32756; dm 6; pv f4 a5 Nd3 d5 g7 d6 g8=Q a4 Qg1+ Bxg1 Bb2#;
8/p2p4/1P1P1r1P/3P3P/4PPb1/2nP1k1N/8/5K2 b - - acn 167706; acs 0; bm Bxh3+; ce 32756; dm 6; pv Bxh3+ Ke1 Ke3 f5 Rxh6 e5 Bg2 f6 Rxh5 f7 Rh1#;
8/p2p1p2/p2p1p2/P1pP1p2/2P1kP2/2P3B1/2N5/2K2B2 w - - acn 121090; acs 0; bm Ne1; ce 32756; dm 6; pv Ne1 Ke3 Bg2 Ke2 Bh4 Ke3 Bf3 Kxf4 Kd2 Ke5 Nd3#;
8/p2n1Np1/P2N2Bb/P1n1p1p1/2p1r1p1/2Pk2P1/3P4/3K4 w - - acn 39910; acs 0; bm Nd8; ce 32756; dm 6; pv Nd8 Nb8 N6f7 Ncd7 Nb7 Nxa6 Nbd6 Nac5 a6 Nxa6 Bxe4#;
8/p2k1ppp/Pp6/2RP4/6r1/3Q2PP/1P3PK1/4q3 w - - acn 74684; acs 0; bm Qf5+; ce 32756; dm 6; pv Qf5+ Qe6 dxe6+ fxe6 Qf7+ Kd8 Rc7 Rxg3+ fxg3 h6 Qd7#;
8/p2R1p2/k1K2pp1/6b1/1Pp5/1p6/bp4B1/r7 w - - acn 125728; acs 0; bm Rd6; ce 32756; dm 6; pv Rd6 Be3 Bh3 f5 Bf1 Rc1 Rd5 Bc5 Rxc5 g5 Ra5#;
8/p2Q4/7n/8/1P6/pb6/1P1P4/k1K5 w - - acn 195917; acs 0; bm Qxa7; ce 32756; dm 6; pv Qxa7 a2 Qe3 Nf7 Qg3 Nd8 Qxb3 Nb7 Qc3 Na5 b3#;
8/p2NKp1p/p4p1q/3k3r/4nP2/2p1P3/1b2N3/2nr4 b - - acn 828298; acs 1; bm Nxe2 f5; ce 32756; dm 6; pv f5 Nxc3+ Bxc3 Nb6+ Qxb6 Kxf7 Nd6+ Ke7 Qb7+ Kf8 Qf7#;
8/p2K4/3P4/1k3pp1/4Qrr1/P2p1bb1/4p2p/6nq b - - acn 235597; acs 0; bm Rxe4; ce 32756; dm 6; pv Rxe4 a4+ Kc5 a5 e1=Q Kc7 Qxa5+ Kd7 Bxd6 Kc8 Qc7#;
8/p2K4/1P6/N1P5/8/5R2/6k1/8 w - - acn 176714; acs 0; bm Ra3 Rc3 Rf7; ce 32756; dm 6; pv Rc3 axb6 cxb6 Kh2 b7 Kg2 b8=Q Kf2 Qb2+ Kf1 Rc1#;
8/p1r1p3/5p2/B2p4/3k1K2/2bp4/1p6/8 b - - acn 270107; acs 0; bm Bxa5 b1=Q d2 e5+; ce 32756; dm 6; pv e5+ Kg4 Bxa5 Kh4 b1=Q Kg4 d2 Kh4 Qg1 Kh5 Qg5#;
8/p1pp1N1p/r1B2Kn1/q7/2k5/1p1N4/1B2r3/b7 b - - acn 118549; acs 0; bm Kxd3 Rxc6+; ce 32756; dm 6; pv Rxc6+ Kg7 Kxd3 Ne5+ Rxe5 Bc3 Re7+ Kh6 Nf8+ Bf6 Rxf6#;
8/p1pP4/r1PP4/k7/p7/5p2/2NK1pp1/4n1B1 b - - acn 54780; acs 0; bm fxg1=Q; ce 32756; dm 6; pv fxg1=Q d8=Q Qf2+ Kc3 Rxc6+ Kb2 Qxc2+ Ka1 Qc1+ Ka2 Rc2#;
8/p1p5/p1N5/P7/N1B5/kP6/1p6/bK6 w - - acn 133154; acs 0; bm Nd4; ce 32756; dm 6; pv Nd4 Kb4 Nc2+ Kxa5 Nd4 Kb4 Nc6+ Ka3 Nc3 a5 Nb5#;
8/p1p5/p1Bp4/k2K4/P1pP4/P1P5/P7/7R w - - acn 167473; acs 0; bm Ra1; ce 32756; dm 6; pv Ra1 Kb6 a5+ Kxa5 a4 Kb6 a5+ Kxa5 a4 Kb6 a5#;
8/p1p5/k1P5/PnP5/1BB2p2/4P3/8/R3K3 w - - acn 181443; acs 0; bm Bf1 Rd1; ce 32756; dm 6; pv Bf1 f3 Rd1 f2+ Ke2 Nc3+ Kxf2+ Nb5 Rd3 Na3 Rxa3#;
8/p1p5/P7/1p5P/1Pn3pP/1P5p/7K/1k3r2 b - - acn 310419; acs 1; bm Nd2 Nd6 Ne3; ce 32756; dm 6; pv Nd6 Kg3 Ne4+ Kxg4 h2 h6 h1=Q h5 Qg1+ Kh4 Qg3#;
8/p1p5/Bbk1K3/2p5/1pR5/1n6/3RN3/8 w - - acn 910028; acs 1; bm Rd8; ce 32756; dm 6; pv Rd8 Ba5 Rb8 Bb6 Rb7 Ba5 Rb5 Bb6 Rbxb4 Nd4+ Nxd4#;
8/p1p2K2/np1p4/3P4/1k1N4/1P6/8/Q5P1 w - - acn 1595822; acs 1; bm Qb2; ce 32756; dm 6; pv Qb2 Nb8 Nc2+ Kb5 Qa1 Kc5 Qd4+ Kb5 Qc4+ Ka5 Qa4#;
8/p1p1p3/p1B1P3/k2K4/P2P4/P1P5/P7/2R5 w - - acn 130735; acs 0; bm Ra1; ce 32756; dm 6; pv Ra1 Kb6 a5+ Kxa5 a4 Kb6 a5+ Kxa5 a4 Kb6 a5#;
8/p1p1p1p1/P3P1P1/2KP1B2/3NP2p/2k4p/4P2P/2B5 w - - acn 170423; acs 0; bm Bg4; ce 32756; dm 6; pv Bg4 c6 Bh5 cxd5 Bf3 dxe4 Bh1 e3 Kb5 Kxd4 Bb2#;
8/p1nP3p/P2R1np1/1k3p2/3P4/2PP1P2/8/R1K1N1q1 w - - acn 22570; acs 0; bm d8=Q; ce 32756; dm 6; pv d8=Q Qxe1+ Kc2 Qe2+ Kb3 Qd1+ Rxd1 h6 Qb8+ Ka5 Qb4#;
8/p1brrbp1/8/2Pp1R2/3PkP2/4p2B/1PK1N1P1/8 w - - acn 262314; acs 1; bm Bg4; ce 32756; dm 6; pv Bg4 Be6 Kc3 Ba5+ b4 Bxb4+ Kc2 Bf7 Rg5 g6 Bf3#;
8/p1bn4/Pppr4/1pBkrB2/4pqP1/3N1p2/N7/4K3 b - - acn 73389; acs 0; bm exd3+; ce 32756; dm 6; pv exd3+ Kf1 d2 Nb4+ Kxc5 Nd3+ Rxd3 g5 d1=Q+ Kf2 Qe1#;
8/p1Q1p3/Pp2P3/1K5p/4k3/7P/4P3/3N4 w - - acn 1076310; acs 2; bm Qxe7; ce 32756; dm 6; pv Qxe7 Ke5 Qg7+ Kxe6 e4 h4 Nc3 Kd6 Nd5 Ke6 Qe7#;
8/p1Q1p3/Pp2P3/1K5p/4k3/7P/4P3/3N4 w - - acn 1076012; acs 1; bm Qxe7; ce 32756; dm 6; pv Qxe7 Ke5 Qg7+ Kxe6 e4 h4 Nc3 Kd6 Nd5 Ke6 Qe7#;
8/p1P1p1P1/6N1/5k2/Kb6/2Pn1P2/2Pp1NpP/8 w - - acn 52040; acs 0; bm c8=Q+; ce 32756; dm 6; pv c8=Q+ e6 Nh4+ Kf6 Qf8+ Bxf8 gxf8=Q+ Ke5 Nxd3+ Kd5 Qc5#;
8/p1N5/8/k2NK3/8/1P6/8/8 w - - acn 147171; acs 0; bm Kd6; ce 32756; dm 6; pv Kd6 a6 Ne6 Kb5 Nd4+ Ka5 Ne2 Kb5 Nec3+ Ka5 b4#;
8/p1K5/rp6/pk6/n1n5/2RRP3/8/1N2N3 w - - acn 250620; acs 0; bm Rb3+; ce 32756; dm 6; pv Rb3+ Kc5 Rb5+ Kxb5 Rb3+ Kc5 Rb5+ Kxb5 Nd3 Na3 Nxa3#;
8/p1K5/pp6/k7/P2R4/8/P7/8 w - - acn 147547; acs 0; bm a3; ce 32756; dm 6; pv a3 b5 Rb4 bxa4 Rb6 axb6 Kc6 b5 Kc5 b4 axb4#;
8/p1K5/4p3/p1kpP3/6n1/P1NP4/2P1np2/7Q w - - acn 317324; acs 1; bm Nxe2; ce 32756; dm 6; pv Nxe2 f1=Q d4+ Kc4 Qxf1 a4 Qe1 a5 Qc3+ Kb5 Qc6#;
8/p1K5/4p3/p1kpP3/6n1/P1NP4/2P1np2/7Q w - - acn 317207; acs 0; bm Nxe2; ce 32756; dm 6; pv Nxe2 f1=Q d4+ Kc4 Qxf1 a4 Qe1 a5 Qc3+ Kb5 Qc6#;
8/p1K5/3N4/p3p3/1Npk4/4pB2/8/8 w - - acn 343876; acs 1; bm Nb5+; ce 32756; dm 6; pv Nb5+ Kc5 Na6+ Kxb5 Bc6+ Kxa6 Ba4 e2 Kc6 e1=Q Bb5#;
8/p1B5/rp2p3/k3p3/8/K7/ppPP4/1R6 b - - acn 18018; acs 0; bm axb1=Q; ce 32756; dm 6; pv axb1=Q Kb3 Qc1 Bxb6+ Rxb6+ Kc3 b1=N+ Kd3 Qxd2+ Ke4 Qe2#;
8/p1B5/k1B3p1/6p1/8/2P3K1/6P1/8 w - - acn 141616; acs 0; bm Bd8; ce 32756; dm 6; pv Bd8 g4 Kf4 g5+ Ke5 g3 Kd6 g4 Kc7 Ka5 Kb7#;
8/nqrRR1K1/pp1pp3/6pp/PP1PP1PP/Nb1nbr2/NQ1BB2k/8 b - - acn 266237; acs 1; bm Rxd7; ce 32756; dm 6; pv Rxd7 d5 Rxe7+ Kg6 Nf4+ Kh6 Rh7+ Kxg5 Nh3+ Kg6 Rh6#;
8/nkPP4/8/P7/8/5K1B/5p2/8 w - - acn 81263; acs 0; bm c8=Q+; ce 32756; dm 6; pv c8=Q+ Nxc8 dxc8=Q+ Ka7 Qd7+ Ka8 a6 f1=Q+ Bxf1 Kb8 Qb7#;
8/nN3p2/2p5/8/2pk1P2/P1Np3R/3B1b2/7K w - - acn 1187777; acs 2; bm Rh8; ce 32756; dm 6; pv Rh8 Bh4 Re8 f5 Re6 Nb5 Rd6+ Nxd6 Nc5 Nb7 Ne6#;
8/n7/rn5K/p1k5/Rpr4Q/B1R5/2q5/8 b - - acn 73483; acs 0; bm Nd7+ Nxa4+; ce 32756; dm 6; pv Nxa4+ Kg7 Qxc3+ Qd4+ Rxd4 Bxb4+ Rxb4+ Kh7 Rb7+ Kg8 Qg7#;
8/n7/K5p1/4p3/p3p2p/2pRQ3/Bpk1PRb1/brr4q w - - acn 4635399; acs 8; bm Rf3; ce 32756; dm 6; pv Rf3 Bxf3 Ka5 Nc6+ Kxa4 Na5 Rd2+ cxd2 Bb3+ Nxb3 Qxb3#;
8/n7/8/8/3kP3/3P4/1P1NPP2/Kb2q3 b - - acn 159677; acs 0; bm Bc2+ Qxd2; ce 32756; dm 6; pv Bc2+ Ka2 Qxd2 e3+ Kxd3 b3 Bb1+ Ka3 Nc6 f3 Qa2#;
8/n7/7K/2kp4/2p1P3/P7/1p1p4/rbbRB3 b - - acn 158278; acs 0; bm dxe1=Q+; ce 32756; dm 6; pv dxe1=Q+ Kg6 Qxe4+ Kf6 Qf5+ Ke7 Nc6+ Ke8 Qe6+ Kf8 Bh6#;
8/n7/3k4/3pRp2/1ppB3K/4q3/8/8 b - - acn 199267; acs 0; bm Qxd4+; ce 32756; dm 6; pv Qxd4+ Re4 Qg1 Rf4 Ke5 Re4+ dxe4 Kh5 Qg7 Kh4 Qg4#;
8/n7/3Q4/kbK5/8/8/8/8 w - - acn 99683; acs 0; bm Qe6; ce 32756; dm 6; pv Qe6 Nc8 Qxc8 Ka4 Qh3 Ka5 Qa3+ Ba4 Qb4+ Ka6 Qb6#;
8/n6p/5k1K/2R5/7p/p7/8/4R3 w - - acn 502660; acs 1; bm Rc2; ce 32756; dm 6; pv Rc2 Kf5 Kh5 Kf4 Kxh4 Kf5 Rf2+ Kg6 Rg1+ Kh6 Rf6#;
8/n5p1/2p5/1rp1R1P1/Np1kp2B/1r2p2B/4Q3/1b2K3 w - - acn 1174445; acs 2; bm Bg3; ce 32756; dm 6; pv Bg3 Nc8 Qd1+ Bd3 Rxe4+ Kxe4 Qg4+ Kd5 Bg2+ Be4 Qxe4#;
8/n5B1/6p1/8/1p4p1/1K3p2/4pr2/RNk4r w - - acn 84672; acs 0; bm Be5; ce 32756; dm 6; pv Be5 g5 Bf6 Rh5 Bd4 e1=Q Be3+ Qxe3+ Nc3+ Kd2 Rd1#;
8/n4P2/1n3p1r/5k1p/4p2P/N2p2P1/3N4/3Q3K w - - acn 2362008; acs 5; bm f8=Q; ce 32756; dm 6; pv f8=Q Nac8 Qg8 Nd6 Qf1+ Ke5 Qf4+ Kd4 Nb3+ Kc3 Qd2#;
8/n4P2/1n3p1r/5k1p/4p2P/N2p2P1/3N4/3Q3K w - - acn 2361314; acs 3; bm f8=Q; ce 32756; dm 6; pv f8=Q Nac8 Qg8 Nd6 Qf1+ Ke5 Qf4+ Kd4 Nb3+ Kc3 Qd2#;
8/n3qppp/Bn1p2b1/3Pp3/4P2k/6N1/5PP1/2Q3K1 w - - acn 365512; acs 1; bm Be2; ce 32756; dm 6; pv Be2 Qg5 Nf5+ Bxf5 g3+ Qxg3+ fxg3+ Kh3 Qg5 h6 Bf1#;
8/n3p1b1/3p3p/P1k5/K6p/4p3/2B5/1Q6 w - - acn 383857; acs 1; bm Be4; ce 32756; dm 6; pv Be4 Kd4 Qd3+ Ke5 Qd5+ Kf4 Qf5+ Kg3 Qf3+ Kh2 Qg2#;
8/n2Pn2p/pp1p2pr/3kN3/4R1Pp/5P2/KN5p/8 w - - acn 396682; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q h1=Q Qa8+ Nac6 Nxc6 Qb1+ Kxb1 h3 Na7+ Nc6 Qxc6#;
8/n2Pn2p/pp1p2pr/3kN3/4R1Pp/5P2/KN5p/8 w - - acn 396627; acs 1; bm d8=Q; ce 32756; dm 6; pv d8=Q h1=Q Qa8+ Nac6 Nxc6 Qb1+ Kxb1 h3 Na7+ Nc6 Qxc6#;
8/n1p5/rpP5/p5Q1/p1kp1p2/2PN4/2N5/4K2n w - - acn 566600; acs 1; bm Kd2; ce 32756; dm 6; pv Kd2 dxc3+ Ke2 f3+ Ke3 a3 Qg8+ Kb5 Nd4+ Ka4 Qc4#;
8/n1p5/rpP5/p5Q1/p1kp1p2/2PN4/2N5/4K2n w - - acn 566147; acs 1; bm Kd2; ce 32756; dm 6; pv Kd2 dxc3+ Ke2 f3+ Ke3 a3 Qg8+ Kb5 Nd4+ Ka4 Qc4#;
8/n1p5/2k5/P3P3/5N2/p3P1p1/6PR/5BKQ w - - acn 278407; acs 1; bm Rh6+ Rh7 Rh8; ce 32756; dm 6; pv Rh6+ Kb7 a6+ Kb8 Rb6+ cxb6 Qh7 Kc8 Ne6 b5 Qb7#;
8/n1PP4/2n3p1/3pp1b1/2pk1p2/B3Nb1r/3Pp3/KQ6 w - - acn 351919; acs 1; bm d8=N; ce 32756; dm 6; pv d8=N Nxd8 Nc2+ Ke4 Ne1+ Kd4 Qb6+ Ke4 Qxg6+ Kd4 Nc2#;
8/n1P5/2N1N3/Pp1PPk1P/8/K3p3/4B3/8 w - - acn 254947; acs 0; bm Nxa7; ce 32756; dm 6; pv Nxa7 b4+ Kb3 Kxe5 Nc6+ Kf5 c8=Q Ke4 Nc7 Kf4 Qg4#;
8/krp3p1/2Pp4/7K/8/8/8/4B1qR b - - acn 96595; acs 0; bm Rb5+; ce 32756; dm 6; pv Rb5+ Kh4 Qxh1+ Kg4 Qxe1 Kf4 Rb3 Kg4 Qe4+ Kg5 Rb5#;
8/kn6/8/8/2p4B/8/p4K1p/8 b - - acn 330042; acs 1; bm a1=Q; ce 32756; dm 6; pv a1=Q Bg3 Qg1+ Ke2 Qxg3 Kd2 Qd3+ Kc1 h1=Q+ Kb2 Qhb1#;
8/kPB5/n7/1p1p4/1P1p4/P2K4/Q1p5/8 w - - acn 55158; acs 0; bm Qxc2; ce 32756; dm 6; pv Qxc2 Kxb7 Be5 Ka7 Qc8 Nc5+ bxc5 b4 Qb8+ Ka6 Qb6#;
8/kP6/p1K5/P7/2P3B1/8/8/8 w - - acn 26544; acs 0; bm Bd1; ce 32756; dm 6; pv Bd1 Kb8 Ba4 Ka7 Bb5 axb5 Kc7 b4 b8=Q+ Ka6 Qb6#;
8/kP6/P7/P7/KP6/8/8/8 w - - acn 7321; acs 0; bm Kb5; ce 32756; dm 6; pv Kb5 Kb8 Kc6 Ka7 Kc7 Kxa6 b8=R Ka7 Rb6 Ka8 Ra6#;
8/kP6/P7/2K5/8/8/8/8 w - - acn 7453; acs 0; bm Kb5 Kc6 Kd5 Kd6; ce 32756; dm 6; pv Kd5 Kb8 Kd6 Ka7 Kc7 Kxa6 b8=Q Ka5 Qb3 Ka6 Qa4#;
8/kP6/2K5/1P6/1P6/P7/8/8 w - - acn 2326; acs 0; bm a4; ce 32756; dm 6; pv a4 Kb8 a5 Ka7 a6 Kb8 Kd7 Ka7 Kc8 Kb6 b8=Q#;
8/kP1p4/P2P4/1K6/8/8/4P3/8 w - - acn 20439; acs 0; bm e4; ce 32756; dm 6; pv e4 Kb8 e5 Ka7 e6 dxe6 d7 e5 d8=Q e4 Qa8#;
8/kP1n4/3K4/1P6/5p2/5N2/8/8 w - - acn 22646; acs 0; bm Kc7; ce 32756; dm 6; pv Kc7 Nb8 Nd4 f3 Nb3 Na6+ bxa6 f2 b8=Q+ Kxa6 Qb6#;
8/kP1P4/8/8/8/2K4B/p1p5/8 w - - acn 12535; acs 0; bm b8=Q+; ce 32756; dm 6; pv b8=Q+ Kxb8 d8=Q+ Kb7 Bg2+ Ka6 Kb4 a1=Q Qc8+ Kb6 Qb7#;
8/kN6/2K5/8/8/1B6/8/8 w - - acn 57989; acs 0; bm Bc4 Be6 Kc7 Nc5; ce 32756; dm 6; pv Nc5 Ka8 Be6 Kb8 Kb6 Ka8 Bf5 Kb8 Na6+ Ka8 Be4#;
8/kBK5/8/8/p7/8/1P6/8 w - - acn 21314; acs 0; bm Bc8; ce 32756; dm 6; pv Bc8 Ka8 Ba6 a3 Bb7+ Ka7 b4 a2 b5 a1=Q b6#;
8/kB1r4/2K5/2N4N/8/8/7B/8 w - - acn 115811; acs 0; bm Bb8+; ce 32756; dm 6; pv Bb8+ Kxb8 Nxd7+ Ka7 Nb6 Kb8 Nf6 Ka7 Nc8+ Kb8 Nd7#;
8/kB1N4/n7/2N5/K7/8/8/8 w - - acn 57800; acs 0; bm Bxa6; ce 32756; dm 6; pv Bxa6 Ka8 Nb7 Ka7 Ka5 Ka8 Nd8 Ka7 Nc6+ Ka8 Nb6#;
8/k7/pNK5/p7/8/8/8/1n4B1 w - - acn 99468; acs 0; bm Kc7; ce 32756; dm 6; pv Kc7 Na3 Nc4+ Ka8 Nxa3 a4 Kc8 a5 Nb5 a3 Nc7#;
8/k7/P7/P7/8/3B1K1p/7B/8 w - - acn 249412; acs 0; bm Ke4; ce 32756; dm 6; pv Ke4 Ka8 Kd5 Ka7 Kc6 Ka8 Kc7 Ka7 Bg1+ Ka8 Be4#;
8/k7/P7/2p1N3/P1P2p2/8/6K1/6R1 w - - acn 274401; acs 0; bm Rb1; ce 32756; dm 6; pv Rb1 f3+ Kh2 f2 Nc6+ Kxa6 a5 f1=N+ Kh3 Nd2 Rb6#;
8/k7/P1K5/8/8/3B4/8/8 w - - acn 6004; acs 0; bm Bc4 Be2 Bf1 Kc7; ce 32756; dm 6; pv Be2 Ka8 Kb6 Kb8 Bg4 Ka8 Bh3 Kb8 a7+ Ka8 Bg2#;
8/k7/P1K5/8/2B5/8/8/8 w - - acn 20121; acs 0; bm Bd3 Be2 Bf1 Kc7; ce 32756; dm 6; pv Bd3 Ka8 Kb6 Kb8 Bf5 Ka8 Bg4 Kb8 a7+ Ka8 Bf3#;
8/k7/P1B5/2K5/8/8/8/8 w - - acn 17187; acs 0; bm Bb5; ce 32756; dm 6; pv Bb5 Kb8 Kc6 Ka7 Kc7 Ka8 Kb6 Kb8 a7+ Kc8 a8=Q#;
8/k7/8/BK6/8/8/6p1/6Rb w - - acn 68511; acs 0; bm Kc6; ce 32756; dm 6; pv Kc6 Kb8 Bc7+ Kc8 Kd6 Kb7 Kd7 Ka7 Kc6 Ka8 Ra1#;
8/k7/8/8/P7/KR6/8/8 w - - acn 59159; acs 0; bm Rb5; ce 32756; dm 6; pv Rb5 Ka8 Kb4 Ka7 Ka5 Ka8 Kb6 Kb8 Rc5 Ka8 Rc8#;
8/k7/8/8/8/8/PPPPPPPP/RNBQKBNR w KQ - acn 85744; acs 0; bm d4 e4; ce 32756; dm 6; pv e4 Kb7 d4 Kc7 Qf3 Kd7 Qf7+ Kd8 Bf4 Kc8 Qc7#;
8/k7/8/8/8/1K1b4/p7/8 b - - acn 111522; acs 0; bm a1=Q; ce 32756; dm 6; pv a1=Q Kb4 Qd4+ Kb3 Be4 Ka3 Qc3+ Ka2 Qb4 Ka1 Qb1#;
8/k7/8/8/3N4/8/pp6/4K3 b - - acn 44122; acs 0; bm a1=Q+ b1=Q+; ce 32756; dm 6; pv b1=Q+ Ke2 Qe4+ Kf2 Qxd4+ Kg2 Qf4 Kg1 a1=Q+ Kg2 Qaf1#;
8/k7/8/8/1Q6/8/5p2/5K2 w - - acn 11099; acs 0; bm Kxf2; ce 32756; dm 6; pv Kxf2 Ka8 Kf3 Ka7 Ke4 Ka8 Kd5 Ka7 Kc6 Ka8 Qb7#;
8/k7/8/4N3/8/8/pp6/4K3 b - - acn 52101; acs 0; bm a1=Q+ b1=Q+; ce 32756; dm 6; pv b1=Q+ Ke2 Qb2+ Ke3 Qxe5+ Kf3 a1=Q Kf2 Qf4+ Kg2 Qaf1#;
