rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
8/8/8/6p1/8/3k4/4pK2/8 b - - acn 25720; acs 0; bm Kd2; ce 32754; dm 7; pv Kd2 Kf3 e1=Q Kg4 Qe6+ Kxg5 Ke3 Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/8/8/6p1/7P/4k3/5p2/5K2 b - - acn 12189; acs 0; bm gxh4; ce 32754; dm 7; pv gxh4 Kg2 h3+ Kg3 h2 Kh3 h1=Q+ Kg4 Qh6 Kg3 Qf4+ Kh3 f1=Q#;
8/8/8/6p1/6p1/6k1/8/4KBNR w - - acn 1772607; acs 2; bm Ne2+; ce 32754; dm 7; pv Ne2+ Kf3 Rh5 Ke3 Rxg5 Kf3 Kd2 g3 Bh3 g2 Rg4 g1=Q Rf4#;
8/8/8/6p1/6N1/7p/5P1P/5K1k w - - acn 58566; acs 0; bm f4; ce 32754; dm 7; pv f4 gxf4 Kf2 f3 Kf1 f2 Ne3 Kxh2 Kxf2 Kh1 Nf1 h2 Ng3#;
8/8/8/6p1/6K1/7P/3k4/4q3 b - - acn 1348670; acs 1; bm Qe5 Qe6+ Qe7; ce 32754; dm 7; pv Qe6+ Kxg5 Ke3 h4 Ke4 h5 Ke5 h6 Qg8+ Kh5 Kf5 h7 Qg5#;
8/8/8/6p1/6B1/7P/P4K1k/8 w - - acn 333710; acs 0; bm a3 a4; ce 32754; dm 7; pv a3 Kh1 a4 Kh2 a5 Kh1 a6 Kh2 a7 Kh1 a8=Q+ Kh2 Qg2#;
8/8/8/6p1/5k2/3K4/7p/8 b - - acn 100981; acs 0; bm h1=Q; ce 32754; dm 7; pv h1=Q Kc3 Qc6+ Kd3 Qc5 Kd2 Qc4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/8/8/6p1/4N1Pp/5K1P/4P1Np/6kr w - - acn 111995; acs 0; bm Nxg5; ce 32754; dm 7; pv Nxg5 Kf1 Ne4 Kg1 g5 Kf1 g6 Kg1 g7 Kf1 g8=Q Rg1 Nd2#;
8/8/8/6p1/4K3/8/7k/6q1 b - - acn 104146; acs 0; bm Qc5 Qd1; ce 32754; dm 7; pv Qd1 Ke5 g4 Kf5 g3 Kg5 g2 Kf5 g1=Q Ke5 Qg5+ Ke6 Qdd5#;
8/8/8/6p1/3p4/8/5KN1/5N1k w - - acn 58563; acs 0; bm Ne1; ce 32754; dm 7; pv Ne1 g4 Nd3 g3+ Nxg3+ Kh2 Nf4 d3 Nf1+ Kh1 Nh5 d2 Nhg3#;
8/8/8/6p1/3Pp1pp/2P3Pp/2P5/R3KQbk w - - acn 7327473; acs 7; bm Kd1 Kd2 Ke2 Qf5 Rb1; ce 32754; dm 7; pv Rb1 hxg3 Ke2 h2 Rb5 g2 Qe1 g3 Rxg5 e3 Qxg3 Bf2 Qxg2#;
8/8/8/6p1/3K4/8/6k1/5q2 b - - acn 358181; acs 0; bm Qb5; ce 32754; dm 7; pv Qb5 Kc3 g4 Kc2 Qb4 Kc1 Kf3 Kc2 Ke3 Kc1 Kd3 Kd1 Qb1#;
8/8/8/6p1/3K2k1/8/8/7q b - - acn 602892; acs 1; bm Qc6; ce 32754; dm 7; pv Qc6 Kd3 Qc5 Kd2 Qc4 Kd1 Qa2 Ke1 Qb2 Kf1 Kf3 Kg1 Qg2#;
8/8/8/6k1/8/8/6K1/5r2 b - - acn 2093; acs 0; bm Rf4 Rf5 Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf4 Kg3 Rf5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6k1/8/5K2/4r3/8 b - - acn 2153; acs 0; bm Re5 Re6 Re7 Re8; ce 32754; dm 7; pv Re5 Kg3 Rf5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6k1/6b1/3n4/7K/8 b - - acn 493329; acs 0; bm Kh4; ce 32754; dm 7; pv Kh4 Kg2 Be2 Kh2 Nf4 Kg1 Kg3 Kh1 Bd3 Kg1 Nh3+ Kh1 Be4#;
8/8/8/6k1/6P1/8/6K1/5r2 b - - acn 13209; acs 0; bm Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf6 Kg3 Rf4 Kh3 Rxg4 Kh2 Kh4 Kh1 Kg3 Kg1 Rf4 Kh1 Rf1#;
8/8/8/6k1/5rP1/6K1/8/8 b - - acn 26558; acs 0; bm Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf6 Kh3 Rf3+ Kh2 Kxg4 Kg2 Rf4 Kh2 Kf3 Kh3 Kf2 Kh2 Rh4#;
8/8/8/6k1/5R2/5K2/8/8 w - - acn 9265; acs 0; bm Kg3; ce 32754; dm 7; pv Kg3 Kh5 Rg4 Kh6 Kh4 Kh7 Kh5 Kh8 Kg6 Kg8 Rf4 Kh8 Rf8#;
8/8/8/6k1/4r3/5K2/8/8 b - - acn 5823; acs 0; bm Re5 Re6 Re7 Re8; ce 32754; dm 7; pv Re5 Kg3 Rf5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6k1/3K4/8/8/7q b - - acn 2988; acs 0; bm Qc6; ce 32754; dm 7; pv Qc6 Kd3 Qc5 Kd2 Kg4 Ke2 Qd4 Kf1 Qd2 Kg1 Kg3 Kh1 Qe1#;
8/8/8/6k1/3K4/8/8/5q2 b - - acn 3427; acs 0; bm Kf4 Kf5 Qb5; ce 32754; dm 7; pv Qb5 Ke4 Qb4+ Ke5 Qc4 Kd6 Kf6 Kd7 Qc5 Kd8 Ke6 Ke8 Qc8#;
8/8/8/6k1/1K6/8/8/5q2 b - - acn 4022; acs 0; bm Kf4 Kf5; ce 32754; dm 7; pv Kf5 Kb3 Qb5+ Kc3 Ke4 Kc2 Qb4 Kd1 Qb2 Ke1 Ke3 Kf1 Qf2#;
8/8/8/6b1/pNN5/P6K/p1B5/2k1B3 w - - acn 982968; acs 1; bm Ne5; ce 32754; dm 7; pv Ne5 Kb2 Ned3+ Kxa3 Ne5 Kb2 Nc4+ Kc1 Na3 Kb2 Nd3+ Ka1 Bc3#;
8/8/8/6b1/4k3/4p3/8/5K2 b - - acn 171770; acs 0; bm Kd3; ce 32754; dm 7; pv Kd3 Kg1 e2 Kf2 Be7 Kg2 e1=Q Kh2 Qf2+ Kh3 Ke3 Kg4 Qf3#;
8/8/8/6R1/8/5K2/6p1/5k2 w - - acn 31377; acs 0; bm Rxg2; ce 32754; dm 7; pv Rxg2 Ke1 Re2+ Kd1 Ke3 Kc1 Kd3 Kd1 Re4 Kc1 Rb4 Kd1 Rb1#;
8/8/8/6R1/5K2/8/4k3/8 w - - acn 5159; acs 0; bm Rd5; ce 32754; dm 7; pv Rd5 Kf2 Rd2+ Ke1 Ke3 Kf1 Rc2 Kg1 Kf3 Kh1 Kg3 Kg1 Rc1#;
8/8/8/6R1/4K3/8/4k3/8 w - - acn 1722; acs 0; bm Rg2+; ce 32754; dm 7; pv Rg2+ Ke1 Rh2 Kf1 Ke3 Kg1 Rf2 Kh1 Kf3 Kg1 Kg3 Kh1 Rf1#;
8/8/8/6R1/1k6/3K4/8/8 w - - acn 9386; acs 0; bm Rd5 Re5 Rf5 Rh5; ce 32754; dm 7; pv Rh5 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/6Q1/4q3/4k3/1K6/5q2 b - - acn 38579; acs 0; bm Qff4; ce 32754; dm 7; pv Qff4 Qc5+ Qd4+ Qc3+ Qxc3+ Kxc3 Qa4 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/6Q1/3K4/5k2/8/6q1 w - - acn 698; acs 0; bm Qxg1; ce 32754; dm 7; pv Qxg1 Kf4 Qf1+ Kg4 Qf6 Kg3 Ke3 Kh3 Qg6 Kh4 Kf3 Kh3 Qg3#;
8/8/8/6N1/3pp3/8/2K1N3/k7 w - - acn 143124; acs 0; bm Nxd4; ce 32754; dm 7; pv Nxd4 e3 Ne4 Ka2 Nb5 e2 Nec3+ Ka1 Nd4 e1=N+ Kb3 Nc2 Nxc2#;
8/8/8/6N1/3P1k2/4N3/5KP1/8 w - - acn 633702; acs 1; bm Nf3; ce 32754; dm 7; pv Nf3 Ke4 Ke2 Kf4 d5 Ke4 d6 Kf4 d7 Ke4 d8=Q Kf4 Qh4#;
8/8/8/6N1/2K5/4kB2/2P5/6N1 w - - acn 2740536; acs 2; bm Ne4; ce 32754; dm 7; pv Ne4 Kf4 Kd5 Kf5 Bh5 Kf4 Nf3 Kf5 Nh4+ Kf4 Bd1 Ke3 Ng2#;
8/8/8/6Kp/8/5k2/6p1/8 b - - acn 246984; acs 0; bm g1=Q+; ce 32754; dm 7; pv g1=Q+ Kf5 Qe1 Kf6 Kf4 Kf7 Kf5 Kg7 Qe7+ Kg8 Kf6 Kh8 Qg7#;
8/8/8/6K1/8/8/6k1/5R2 w - - acn 4760; acs 0; bm Rf4 Rf5 Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf4 Kg3 Rf5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6K1/8/8/1k6/5q2 b - - acn 1986; acs 0; bm Kc3; ce 32754; dm 7; pv Kc3 Kg6 Kd4 Kg7 Qf5 Kg8 Qd7 Kh8 Ke5 Kg8 Kf6 Kh8 Qg7#;
8/8/8/6K1/8/6k1/7p/8 b - - acn 357; acs 0; bm h1=Q; ce 32754; dm 7; pv h1=Q Kf5 Qe1 Kf6 Kg4 Kf7 Kg5 Kg7 Qe7+ Kg8 Kg6 Kh8 Qf8#;
8/8/8/6K1/8/6Q1/7p/7k w - - acn 66410; acs 0; bm Qe1+ Qe3; ce 32754; dm 7; pv Qe1+ Kg2 Kg4 h1=Q Qe2+ Kg1 Kg3 Qh4+ Kxh4 Kh1 Kh3 Kg1 Qe1#;
8/8/8/6K1/8/5k2/6p1/8 b - - acn 706; acs 0; bm g1=Q+; ce 32754; dm 7; pv g1=Q+ Kf5 Qe1 Kf6 Kf4 Kf7 Kf5 Kg7 Qe7+ Kg8 Kf6 Kh8 Qg7#;
8/8/8/6K1/8/4k3/5p2/8 b - - acn 581; acs 0; bm f1=Q; ce 32754; dm 7; pv f1=Q Kg6 Qf8 Kg5 Qe7+ Kf5 Kf3 Kg6 Kf4 Kh6 Kf5 Kh5 Qg5#;
8/8/8/6K1/8/3k4/4p3/8 b - - acn 1691; acs 0; bm e1=Q; ce 32754; dm 7; pv e1=Q Kf5 Qe7 Kf4 Qf6+ Kg4 Ke3 Kg3 Qg6+ Kh3 Kf3 Kh4 Qg4#;
8/8/8/6K1/8/2k5/8/1q6 b - - acn 2541; acs 0; bm Kc4 Kd4 Qb6 Qe4 Qf1; ce 32754; dm 7; pv Qf1 Kg6 Kd4 Kg7 Qf5 Kg8 Qd7 Kh8 Ke5 Kg8 Kf6 Kh8 Qg7#;
8/8/8/6K1/6B1/3N4/7k/8 w - - acn 417589; acs 0; bm Kh4; ce 32754; dm 7; pv Kh4 Kg2 Be2 Kh2 Nf4 Kg1 Kg3 Kh1 Bd3 Kg1 Nh3+ Kh1 Be4#;
8/8/8/6K1/5r2/5k2/8/8 b - - acn 7241; acs 0; bm Kg3; ce 32754; dm 7; pv Kg3 Kh5 Rg4 Kh6 Kh4 Kh7 Kh5 Kh8 Kg6 Kg8 Rf4 Kh8 Rf8#;
8/8/8/6K1/5p2/5k2/6p1/8 b - - acn 132398; acs 0; bm g1=Q+; ce 32754; dm 7; pv g1=Q+ Kf5 Qe1 Kg5 Qe7+ Kf5 Kg3 Kg6 Kg4 Kh6 Kf5 Kh5 Qg5#;
8/8/8/6K1/4q3/1k6/8/8 b - - acn 910; acs 0; bm Kc3 Kc4 Qf3; ce 32754; dm 7; pv Qf3 Kg6 Kc4 Kh6 Qg3 Kh7 Kd4 Kh8 Ke5 Kh7 Kf6 Kh8 Qg7#;
8/8/8/6K1/4k3/8/6p1/8 b - - acn 253; acs 0; bm Ke5 g1=Q+; ce 32754; dm 7; pv g1=Q+ Kf6 Qa1+ Kg6 Qc3 Kh6 Qg3 Kh7 Ke5 Kh8 Kf6 Kh7 Qg7#;
8/8/8/6K1/4k3/3p4/8/8 b - - acn 3304; acs 0; bm d2; ce 32754; dm 7; pv d2 Kg6 d1=Q Kf6 Qd6+ Kf7 Kf5 Kg7 Qd7+ Kg8 Kf6 Kh8 Qg7#;
8/8/8/6K1/4R3/5k2/8/8 w - - acn 12106; acs 0; bm Re5 Re6 Re7 Re8; ce 32754; dm 7; pv Re5 Kg3 Rf5 Kh3 Kf4 Kg2 Kg4 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6K1/3k4/8/p7/8 b - - acn 526; acs 0; bm Ke4 Ke5 a1=Q; ce 32754; dm 7; pv a1=Q Kf5 Qa6 Kf4 Qf6+ Kg4 Ke3 Kg3 Qg6+ Kh3 Kf3 Kh4 Qg4#;
8/8/8/6K1/3k4/8/1p6/8 b - - acn 410; acs 0; bm Ke5 b1=Q; ce 32754; dm 7; pv b1=Q Kf6 Qe4 Kf7 Qf5+ Kg7 Ke5 Kg8 Qd7 Kh8 Kf6 Kg8 Qg7#;
8/8/8/6K1/2k5/8/8/Q7 w - - acn 1192; acs 0; bm Kf5 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Qb4+ Kd5 Kf5 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/8/8/6K1/2k5/8/8/1q6 b - - acn 5816; acs 0; bm Kc5 Kd4 Kd5 Qb5+ Qb6 Qc2 Qd1 Qd3 Qe1 Qe4 Qf1 Qh7; ce 32754; dm 7; pv Qb5+ Kg6 Qe5 Kh6 Qg3 Kh7 Kd4 Kh8 Ke5 Kh7 Kf6 Kh8 Qg7#;
8/8/8/6K1/2k5/8/1Q6/8 w - - acn 586; acs 0; bm Kf5; ce 32754; dm 7; pv Kf5 Kc5 Qc3+ Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/8/8/6K1/1k2q3/8/8/8 b - - acn 6605; acs 0; bm Kb5 Kc3 Kc4 Kc5 Qf3; ce 32754; dm 7; pv Qf3 Kg6 Kc4 Kh6 Qg3 Kh7 Kd4 Kh8 Ke5 Kh7 Kf6 Kh8 Qg7#;
8/8/8/6K1/1k1q4/8/8/8 b - - acn 1621; acs 0; bm Kc4 Kc5 Qf2; ce 32754; dm 7; pv Qf2 Kh5 Qg2 Kh6 Kc4 Kh7 Kd4 Kh8 Ke5 Kh7 Kf6 Kh8 Qg7#;
8/8/8/6Bk/7P/1K5P/8/1B6 w - - acn 902013; acs 1; bm Bf6; ce 32754; dm 7; pv Bf6 Kh6 Kc4 Kh5 Kd5 Kh6 Ke6 Kh5 Kf7 Kh6 Bg5+ Kh5 Bg6#;
8/8/8/6B1/8/3K4/2N5/3k4 w - - acn 444126; acs 0; bm Ne3+; ce 32754; dm 7; pv Ne3+ Kc1 Kc3 Kb1 Nc4 Ka2 Kc2 Ka1 Kb3 Kb1 Na3+ Ka1 Bf6#;
8/8/8/5r2/8/2k5/4PQ2/K7 w - - acn 190646; acs 0; bm Qxf5; ce 32754; dm 7; pv Qxf5 Kc4 Qe5 Kb4 Qd5 Ka4 Ka2 Kb4 Kb2 Ka4 Kc3 Ka3 Qb3#;
8/8/8/5r2/6K1/4k3/8/8 b - - acn 2578; acs 0; bm Ra5 Rb5 Rc5 Rd5 Re5; ce 32754; dm 7; pv Re5 Kg3 Rg5+ Kh4 Kf4 Kh3 Rg6 Kh2 Kf3 Kh1 Kf2 Kh2 Rh6#;
8/8/8/5r2/3k4/8/3K4/8 b - - acn 612; acs 0; bm Rf2+; ce 32754; dm 7; pv Rf2+ Ke1 Rh2 Kf1 Ke3 Kg1 Rf2 Kh1 Kf3 Kg1 Kg3 Kh1 Rf1#;
8/8/8/5r2/1K6/3k4/8/8 b - - acn 9370; acs 0; bm Rd5 Re5 Rg5 Rh5; ce 32754; dm 7; pv Rg5 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/5r1k/7P/7K/8/8 b - - acn 54271; acs 0; bm Rf2 Rf4 Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf6 Kg3 Rf7 Kh3 Rg7 Kh2 Kxh4 Kh1 Kg3 Kg1 Rf7 Kh1 Rf1#;
8/8/8/5q2/8/1K6/6k1/8 b - - acn 5574; acs 0; bm Kf2 Kf3 Qb5+ Qc5 Qe4 Qf4; ce 32754; dm 7; pv Qb5+ Kc3 Qa4 Kd3 Kf2 Kc3 Ke2 Kb2 Kd2 Kb1 Kc3 Kc1 Qa1#;
8/8/8/5q2/3K4/8/6k1/8 b - - acn 693; acs 0; bm Kf2 Kf3 Qb5; ce 32754; dm 7; pv Qb5 Ke4 Qc5 Kf4 Qd5 Ke3 Qc4 Kd2 Kf2 Kd1 Ke3 Ke1 Qc1#;
8/8/8/5q2/3K4/6k1/8/8 b - - acn 1021; acs 0; bm Kf2 Kf3 Kf4 Qb5; ce 32754; dm 7; pv Qb5 Kc3 Qa4 Kd3 Kf3 Kc3 Ke3 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/5q2/2K5/8/8/6k1 b - - acn 5092; acs 0; bm Kf2 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Kf2 Ke4 Qc5 Kf4 Qd5 Kg4 Qe5 Kh4 Kf3 Kh3 Qg3#;
8/8/8/5q2/2K5/8/6k1/8 b - - acn 9950; acs 0; bm Kf2 Kf3 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Kf2 Ke4 Qc5 Kf4 Qd5 Kg4 Qe5 Kh4 Kf3 Kh3 Qg3#;
8/8/8/5q2/2K5/6k1/8/8 b - - acn 2754; acs 0; bm Kf2 Kf3 Kf4 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Kf3 Kc4 Ke3 Kb3 Kd3 Kb2 Qb5+ Ka2 Kc3 Ka3 Qb3#;
8/8/8/5pR1/8/2n2k1p/r7/4K3 b - - acn 918970; acs 1; bm f4 h2; ce 32754; dm 7; pv h2 Rh5 f4 Rh3+ Kg2 Rxh2+ Kxh2 Kf1 Ra1+ Kf2 Kh3 Kf3 Rf1#;
8/8/8/5pP1/5P2/5pPk/5Pp1/6Kb w - - acn 3226; acs 0; bm g6; ce 32754; dm 7; pv g6 Kg4 g7 Kh5 g8=Q Kh6 g4 fxg4 f5 Kh5 Qg6+ Kh4 Qh6#;
8/8/8/5p2/8/8/3K3k/6q1 b - - acn 138276; acs 0; bm Qb6 Qc5 Qd4+ Qg3 f4; ce 32754; dm 7; pv Qd4+ Kc2 Qc4+ Kd2 f4 Kd1 f3 Kd2 f2 Kd1 f1=Q+ Kd2 Qfc1#;
8/8/8/5p2/8/5kp1/8/5K2 b - - acn 3853; acs 0; bm g2+; ce 32754; dm 7; pv g2+ Ke1 g1=Q+ Kd2 Qc5 Kd3 Qb4 Kc2 Ke3 Kc1 Kd3 Kd1 Qb1#;
8/8/8/5p2/8/5k2/6p1/3K4 b - - acn 6127; acs 0; bm Ke3 Ke4 g1=Q+; ce 32754; dm 7; pv g1=Q+ Kc2 Qc5+ Kb2 Qb4+ Ka2 Ke3 Ka1 Kd3 Ka2 Kc3 Ka1 Qb2#;
8/8/8/5p2/8/5k2/3K2p1/8 b - - acn 36559; acs 0; bm Ke4 g1=Q; ce 32754; dm 7; pv g1=Q Kc2 Qc5+ Kb2 Qb4+ Ka2 Ke3 Ka1 Kd3 Ka2 Kc3 Ka1 Qb2#;
8/8/8/5p2/8/4bNP1/p1K5/k7 w - - acn 121667; acs 0; bm Nh4; ce 32754; dm 7; pv Nh4 Bf4 Nxf5 Be3 Nd6 Bd2 Nb7 Bb4 g4 Bc5 Na5 Bd6 Nb3#;
8/8/8/5p2/8/3k4/4pK2/8 b - - acn 6835; acs 0; bm Kd2; ce 32754; dm 7; pv Kd2 Kf3 e1=Q Kf4 Qe6 Kf3 Qe4+ Kg3 Ke2 Kh3 Kf2 Kh2 Qg2#;
8/8/8/5p2/8/3K1k2/6p1/8 b - - acn 114450; acs 0; bm g1=Q; ce 32754; dm 7; pv g1=Q Kc3 Qc5+ Kb3 Ke3 Kb2 Qb4+ Kc2 f4 Kc1 Kd3 Kd1 Qb1#;
8/8/8/5p2/7B/2p2K2/6pk/3N3b w - - acn 23956; acs 0; bm Bg3+; ce 32754; dm 7; pv Bg3+ Kg1 Ke2 f4 Bxf4 c2 Nf2 c1=N+ Bxc1 Kh2 Bf4+ Kg1 Nh3#;
8/8/8/5p2/5p2/5p2/5Q2/1k5K w - - acn 213693; acs 0; bm Kh2; ce 32754; dm 7; pv Kh2 Kc1 Kg1 Kd1 Kf1 Kc1 Ke1 Kb1 Kd1 Ka1 Kc2 Ka2 Qa7#;
8/8/8/5p2/4r3/2k2K2/8/8 b - - acn 256644; acs 0; bm Kd2 Kd3; ce 32754; dm 7; pv Kd3 Kf2 Rf4+ Kg2 Ke3 Kg3 Rg4+ Kh2 Kf3 Kh3 Kf2 Kh2 Rh4#;
8/8/8/5p2/3K4/8/6k1/5q2 b - - acn 239503; acs 0; bm Qb5 f4; ce 32754; dm 7; pv f4 Ke4 Qc4+ Ke5 f3 Kf5 f2 Kg5 f1=Q Kh5 Qff7+ Kg5 Qcf4#;
8/8/8/5p2/2K5/8/5k2/4q3 b - - acn 630197; acs 1; bm Qa5 Qe5 Qe6+; ce 32754; dm 7; pv Qe6+ Kd4 Ke2 Kc3 Qe4 Kb3 Kd2 Kb2 Qb4+ Ka2 Kc2 Ka1 Qb1#;
8/8/8/5p2/2BBkp2/5N2/7p/4K2N w - - acn 1831177; acs 2; bm Be6; ce 32754; dm 7; pv Be6 Kd3 Nf2+ Kc2 Nd2 h1=Q+ Nxh1 Kd3 Be5 f3 Bxf5+ Ke3 Nf1#;
8/8/8/5p2/1N2kP2/5R2/8/K5N1 w - - acn 2361989; acs 2; bm Kb2; ce 32754; dm 7; pv Kb2 Kd4 Rc3 Ke4 Nh3 Kd4 Kc2 Ke4 Kd2 Kd4 Ng1 Ke4 Rc4#;
8/8/8/5n2/8/8/3kb3/6K1 b - - acn 485018; acs 0; bm Ke1; ce 32754; dm 7; pv Ke1 Kg2 Bg4 Kg1 Ne3 Kh2 Kf2 Kh1 Bf5 Kh2 Nf1+ Kh1 Be4#;
8/8/8/5n2/8/6kp/8/6K1 b - - acn 60493; acs 0; bm Nd4 Ne3; ce 32754; dm 7; pv Nd4 Kh1 Nb3 Kg1 Nd2 Kh1 Ne4 Kg1 h2+ Kf1 Kf3 Ke1 h1=Q#;
8/8/8/5n2/8/6k1/5p2/5K2 b - - acn 283194; acs 0; bm Ne3+; ce 32754; dm 7; pv Ne3+ Ke2 f1=Q+ Kd2 Qc4 Kxe3 Qd5 Ke2 Qd4 Ke1 Kf3 Kf1 Qd1#;
8/8/8/5n2/5k2/6p1/8/5K2 b - - acn 30609; acs 0; bm Ne3+; ce 32754; dm 7; pv Ne3+ Kg1 g2 Kh2 Kg4 Kg1 Kf3 Kh2 Kf2 Kh3 g1=Q Kh4 Qg4#;
8/8/8/5n2/5k2/6p1/8/4K3 b - - acn 33232; acs 0; bm g2; ce 32754; dm 7; pv g2 Kd1 g1=Q+ Kc2 Qc5+ Kd2 Qc4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/8/8/5n2/5k2/6p1/6K1/8 b - - acn 40073; acs 0; bm Ne3+; ce 32754; dm 7; pv Ne3+ Kg1 g2 Kh2 Kg4 Kg1 Kf3 Kh2 Kf2 Kh3 g1=Q Kh4 Qg4#;
8/8/8/5n2/5k2/6p1/4K3/8 b - - acn 112417; acs 0; bm g2; ce 32754; dm 7; pv g2 Kf2 Ne3 Ke2 g1=Q Kd2 Qa1 Kd3 Qc1 Ke2 Qd1+ Kf2 Qf1#;
8/8/8/5n2/5k2/5p2/8/5K2 b - - acn 28457; acs 0; bm Ke3; ce 32754; dm 7; pv Ke3 Ke1 f2+ Kf1 Ng3+ Kg2 f1=Q+ Kh2 Qf2+ Kh3 Kf4 Kh4 Qh2#;
8/8/8/5n2/4k3/5p2/8/5K2 b - - acn 6403; acs 0; bm Ke3; ce 32754; dm 7; pv Ke3 Ke1 f2+ Kf1 Ng3+ Kg2 f1=Q+ Kh2 Qf2+ Kh3 Kf4 Kh4 Qh2#;
8/8/8/5n2/4k3/5p2/8/4K3 b - - acn 180953; acs 0; bm Ke3; ce 32754; dm 7; pv Ke3 Kd1 f2 Kc1 f1=Q+ Kc2 Qd3+ Kb2 Kd2 Ka2 Kc2 Ka1 Qa3#;
8/8/8/5k2/8/8/7r/3K4 b - - acn 50548; acs 0; bm Ke4 Ke5 Kf4 Kg4 Kg5; ce 32754; dm 7; pv Kg5 Ke1 Kf4 Kf1 Ke3 Kg1 Rf2 Kh1 Kf3 Kg1 Kg3 Kh1 Rf1#;
8/8/8/5k2/8/7p/6p1/6K1 b - - acn 23719; acs 0; bm Ke4 Ke5 Kf4; ce 32754; dm 7; pv Ke5 Kh2 Ke4 Kg1 Ke3 Kh2 Kf2 Kxh3 g1=Q Kh4 Qg6 Kh3 Qg3#;
8/8/8/5k2/8/5pPp/2K4B/2Q5 w - - acn 2068495; acs 2; bm Qf4+ g4+; ce 32754; dm 7; pv g4+ Kf6 Qf4+ Ke6 Qd6+ Kf7 Be5 h2 Bf6 h1=Q Qe7+ Kg8 Qg7#;
8/8/8/5k2/8/3K4/8/Q7 w - - acn 23058; acs 0; bm Kd4 Qa3 Qa4 Qa5+ Qa8 Qd4 Qe1 Qh8; ce 32754; dm 7; pv Qa5+ Kf6 Ke4 Kg6 Qf5+ Kh6 Qf7 Kg5 Qg7+ Kh5 Kf4 Kh4 Qg4#;
8/8/8/5k2/5P2/8/6K1/5r2 b - - acn 5495; acs 0; bm Rxf4; ce 32754; dm 7; pv Rxf4 Kg3 Kg5 Kh3 Rg4 Kh2 Kh4 Kh1 Kg3 Kg1 Rf4 Kh1 Rf1#;
8/8/8/5k2/5P2/4r3/6K1/8 b - - acn 100951; acs 0; bm Kxf4; ce 32754; dm 7; pv Kxf4 Kf2 Re4 Kg2 Re2+ Kf1 Kf3 Kg1 Re1+ Kh2 Rf1 Kh3 Rh1#;
8/8/8/5k2/4rP2/6K1/8/8 b - - acn 135622; acs 0; bm Rxf4; ce 32754; dm 7; pv Rxf4 Kh3 Rf3+ Kh2 Kg4 Kg2 Rf4 Kh2 Kf3 Kh3 Kf2 Kh2 Rh4#;
8/8/8/5k2/4r3/6K1/8/8 b - - acn 2926; acs 0; bm Re3+ Rf4; ce 32754; dm 7; pv Re3+ Kg2 Kg4 Kf2 Re4 Kg2 Rf4 Kh2 Kf3 Kh3 Kf2 Kh2 Rh4#;
8/8/8/5k2/3K4/8/p7/8 b - - acn 14; acs 0; bm a1=Q+; ce 32754; dm 7; pv a1=Q+ Kc4 Qa4+ Kc5 Ke5 Kb6 Kd6 Kb7 Qb4+ Ka7 Kc6 Ka8 Qb7#;
