rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
q7/4n1N1/1B3pp1/1B1k3b/p1N2p2/5p2/2Qp1p1p/5nbK b - - acn 1; acs 0; bm Ng3#; ce 32766; dm 1; pv Ng3#;
q7/4k3/8/1b6/1b1p4/bKb1n3/pp5Q/6Q1 b - - acn 4; acs 0; bm Bc4# Qd5#; ce 32766; dm 1; pv Bc4#;
q7/4k3/1p6/1p1b4/1P2pp2/2K4P/6r1/6q1 b - - acn 7; acs 0; bm Qa3# Qaa1# Qc6# Qc8# Qe3# Qga1# Qh8#; ce 32766; dm 1; pv Qe3#;
q7/4R3/Bb3p2/4p1BQ/2Np2n1/3NPrp1/2PPkrP1/3b2K1 b - - acn 1; acs 0; bm Rf1#; ce 32766; dm 1; pv Rf1#;
q7/4PPBB/6K1/3R4/8/1Q6/8/2k5 w - - acn 8; acs 0; bm Bh6# Qb2# Qd1# Rd1#; ce 32766; dm 1; pv Bh6#;
q7/4PP2/1R6/3r4/2k1KP2/3R4/1P5n/nN1Q4 w - - acn 1; acs 0; bm Rc3#; ce 32766; dm 1; pv Rc3#;
q7/4P3/8/5k2/4nn1K/8/8/4Q3 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/4P3/8/1P2P1kp/1B1p1p1p/3P3P/4r3/5K2 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/4P3/2N2p2/7R/5kp1/4pn2/2rp2p1/1K6 b - - acn 2; acs 0; bm Qa2# d1=Q#; ce 32766; dm 1; pv d1=Q#;
q7/4N1pp/8/3p4/4pKRp/7k/8/6Q1 w - - acn 2; acs 0; bm Qg2# Qh1#; ce 32766; dm 1; pv Qh1#;
q7/4K2p/7P/8/3q4/8/6k1/5r2 b - - acn 1; acs 0; bm Qae4#; ce 32766; dm 1; pv Qae4#;
q7/4BP1Q/rrp5/2P4B/1bK1R3/p7/N2k4/4N2R w - - acn 5; acs 0; bm Bg5# Qh6# Rh2#; ce 32766; dm 1; pv Bg5#;
q7/4BB2/1R6/3r4/2k1KP2/3R4/1P5n/nN1Q4 w - - acn 4; acs 0; bm Nd2# Rb4# Rc3# Rd4#; ce 32766; dm 1; pv Nd2#;
q7/4B3/2pR2p1/n4kPb/6np/5K1B/5RP1/Q7 w - - acn 2; acs 0; bm Qf6#; ce 32766; dm 1; pv Qf6#;
q7/4B3/2n1bP2/1QK1kp1R/5p2/2bB1pP1/3PN3/8 w - - acn 2; acs 0; bm gxf4#; ce 32766; dm 1; pv gxf4#;
q7/3rbpp1/4n3/r2QK3/3nppkP/3b4/5PP1/8 b - - acn 8; acs 0; bm Bd6# Bf6# Nc6# Qb8# Qxd5# Raxd5# Rdxd5# f6#; ce 32766; dm 1; pv f6#;
q7/3r3p/3P1k1P/2p1p1R1/r5P1/5p2/4pN2/4KB2 b - - acn 1; acs 0; bm Qa5#; ce 32766; dm 1; pv Qa5#;
q7/3r1Q2/p3p3/1P1RP2p/N1pp1P1p/3k1Kp1/B1RBn1rb/N6b w - - acn 5; acs 0; bm Bxc4# Nb2# Nc5# Qg6#; ce 32766; dm 1; pv Nb2#;
q7/3r1Q2/p3p3/1P1RP2p/N1pp1P1p/3k1Kp1/B1RBn1rb/N6b b - - acn 4; acs 0; bm Ng1# Qxd5# Rf2# Rg1#; ce 32766; dm 1; pv Ng1#;
q7/3pp3/4k1b1/5pp1/rpPP4/4p3/BBp1r3/K7 b - - acn 3; acs 0; bm Rxa2#; ce 32766; dm 1; pv Rxa2#;
q7/3pR3/1PpKn3/p1p3pN/NQ1bk1P1/5R2/2P1rPP1/1b1r4 w - - acn 4; acs 0; bm Nc3# Nf6# Ng3# Nxc5#; ce 32766; dm 1; pv Ng3#;
q7/3p3p/4B2P/1pp1pb1k/8/2K3P1/2Q1PR2/2B5 w - - acn 1; acs 0; bm Qxf5#; ce 32766; dm 1; pv Qxf5#;
q7/3p3p/1p1Pb2b/1P2Pk2/B4Prp/5R2/2pnr3/2n4K b - - acn 1; acs 0; bm Qxf3#; ce 32766; dm 1; pv Qxf3#;
q7/3p2pN/2N1k3/2K1nrPp/6r1/5p1B/5P2/8 b - - acn 2; acs 0; bm Qxc6#; ce 32766; dm 1; pv Qxc6#;
q7/3n2bk/6n1/4N3/8/8/b5r1/K7 b - - acn 2; acs 0; bm Bxe5#; ce 32766; dm 1; pv Bxe5#;
q7/3n2Rb/2R1n2K/1pP3P1/p4P2/4b3/4k3/r7 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
q7/3kB1p1/3N1Pn1/p1R1P3/r2p3p/P4N1P/2Q3K1/3B2R1 w - - acn 1; acs 0; bm Qf5#; ce 32766; dm 1; pv Qf5#;
q7/3k4/8/8/5B2/3q4/7p/2K5 b - - acn 2; acs 0; bm Qa1# Qaa3#; ce 32766; dm 1; pv Qa1#;
q7/3k1N2/1p3n2/3p1p1P/1pb4P/3rR1Q1/2P5/2K3R1 b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
q7/3bn3/1rnp1p2/3P1k1p/2R1pPpP/4P1P1/P5BR/2BK4 w - - acn 1; acs 0; bm Bxe4#; ce 32766; dm 1; pv Bxe4#;
q7/3b3n/k1p5/8/7b/8/p2PPP2/rN2K3 b - - acn 3; acs 0; bm Rxb1# axb1=Q# axb1=R#; ce 32766; dm 1; pv axb1=Q#;
q7/3b3n/k1p5/8/7b/3P4/p2PPP2/rN2K3 b - - acn 3; acs 0; bm Rxb1# axb1=Q# axb1=R#; ce 32766; dm 1; pv axb1=Q#;
q7/3b2r1/3Bp1n1/p1Pr4/R1P3kp/R7/4PP2/5K2 b - - acn 1; acs 0; bm Rd1#; ce 32766; dm 1; pv Rd1#;
q7/3R3K/1P2pk2/7P/5b2/6r1/8/8 b - - acn 1; acs 0; bm Qg8#; ce 32766; dm 1; pv Qg8#;
q7/3R1p2/3P1kn1/5P2/2b1pp2/8/n2B4/rB1KR1r1 b - - acn 1; acs 0; bm Qa4#; ce 32766; dm 1; pv Qa4#;
q7/3QB3/2r2Rpp/2p1p1kr/2P1K1Bp/5P2/5NR1/3b2n1 w - - acn 12; acs 0; bm Be6# Bf5# Bh3# Qd2# Rd6# Re6# Rf5# Rxc6#; ce 32766; dm 1; pv Bh3#;
q7/3Q2pp/p5N1/rR3p1K/p4p2/1Rn2p1k/6rP/5BB1 w - - acn 2; acs 0; bm Nxf4# Qxf5#; ce 32766; dm 1; pv Nxf4#;
q7/3Q2pp/p5N1/rR3p1K/p4p2/1Rn2p1k/6rP/5BB1 b - - acn 1; acs 0; bm hxg6#; ce 32766; dm 1; pv hxg6#;
q7/3Q1R2/4p2N/4B3/1PB4p/5Ppk/2R1P2p/1N5K w - - acn 2; acs 0; bm Bxe6# Qxe6#; ce 32766; dm 1; pv Bxe6#;
q7/3Q1R2/4p2N/4B3/1PB4p/5Ppk/2R1P2p/1N5K b - - acn 1; acs 0; bm g2#; ce 32766; dm 1; pv g2#;
q7/3P2P1/8/8/4P3/6k1/5r2/7K b - - acn 2; acs 0; bm Qa1# Rf1#; ce 32766; dm 1; pv Rf1#;
q7/3N4/4p1rp/pppP1kB1/1P3Pp1/3P2p1/P1R1P2P/2K2bNR w - - acn 1; acs 0; bm e4#; ce 32766; dm 1; pv e4#;
q7/3K4/5q2/p7/8/8/7k/6r1 b - - acn 3; acs 0; bm Qac6# Qad8# Rg7#; ce 32766; dm 1; pv Rg7#;
q7/3B4/8/4k3/8/7p/8/6K1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/3B4/5b2/3b4/8/3k4/3P4/1K4Q1 b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
q7/2prp2p/R1pk4/2r1p3/1B2P3/3KPp2/1N6/1n1b2Q1 b - - acn 3; acs 0; bm Bc2# Be2# Ke6#; ce 32766; dm 1; pv Bc2#;
q7/2pp1K2/3P4/2p2k2/2p1b1p1/1P1pp1P1/3PPn2/Q6r w - - acn 1; acs 0; bm Qf6#; ce 32766; dm 1; pv Qf6#;
q7/2pRPP2/2p1K3/2R3Pp/2P3kp/p2N1nrb/3Q2p1/2bB4 w - - acn 4; acs 0; bm Ne5# Nf2# Rd4#; ce 32766; dm 1; pv Nf2#;
q7/2p5/2P5/3BB3/n7/1R1N1K2/2Q1N3/7k w - - acn 10; acs 0; bm Ke3# Kf2# Kg3# Kg4# Nf2# Qb1# Qc1# Qd1# Rb1#; ce 32766; dm 1; pv Nf2#;
q7/2p3QR/6p1/2B1p1k1/N2NR1pp/KP6/5n2/8 w - - acn 5; acs 0; bm Be7# Qe7# Qxe5#; ce 32766; dm 1; pv Be7#;
q7/2p2k2/r5pr/5p2/6pP/1R1p4/8/4RK1b b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/2p2BpQ/2p1P2b/2ppK1kr/3P2Np/nnP4P/4P3/4N3 w - - acn 3; acs 0; bm Nf3# Qf5# Qg6#; ce 32766; dm 1; pv Nf3#;
q7/2p2BpQ/2p1P2b/2ppK1kr/3P2Np/1nP4P/4p3/1n2N3 w - - acn 3; acs 0; bm Nf3# Qf5# Qg6#; ce 32766; dm 1; pv Nf3#;
q7/2p2BpQ/2p1P2b/2ppK1kr/3P2Np/1nP4P/4P3/1n2N3 w - - acn 3; acs 0; bm Nf3# Qf5# Qg6#; ce 32766; dm 1; pv Nf3#;
q7/2p1p3/p2bP3/2rP4/5r2/1BP2p1P/R2Nk1pK/3RNbB1 w - - acn 5; acs 0; bm Nb1# Nc4# Ndxf3# Ne4#; ce 32766; dm 1; pv Nb1#;
q7/2p1p3/p2bP3/2rP4/5r2/1BP2p1P/R2Nk1pK/3RNbB1 b - - acn 11; acs 0; bm Ra4# Rb4# Rd4# Re4# Rf5# Rf6# Rf7# Rf8# Rfc4# Rg4# Rh4#; ce 32766; dm 1; pv Rg4#;
q7/2np4/n3b3/5P2/1pQ2BN1/2p5/2k5/KR3B2 w - - acn 8; acs 0; bm Bd3# Qd3# Qe2# Rc1#; ce 32766; dm 1; pv Bd3#;
q7/2nR4/R1b1kN2/pp6/1r1B4/QN4N1/4P1Bp/7K w - - acn 1; acs 0; bm Nc5#; ce 32766; dm 1; pv Nc5#;
q7/2n5/B1Nn4/2r1p3/p2N4/P1k1bpp1/3r4/7K b - - acn 3; acs 0; bm Qh8# Rh2#; ce 32766; dm 1; pv Rh2#;
q7/2n5/4P3/1bp1kp2/p1B1Pp2/P1KRr2r/1BPN4/5nb1 b - - acn 1; acs 0; bm Qa5#; ce 32766; dm 1; pv Qa5#;
q7/2k5/1p6/p1r5/1R1p4/2BN3b/P1P5/4b1K1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/2bR4/4n1k1/8/2n2P1P/8/8/R4bK1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/2RQ4/N2b4/K2k2P1/P4P2/1R1PPN2/8/8 w - - acn 5; acs 0; bm Qf7# Rb5# Rc5# e4#; ce 32766; dm 1; pv e4#;
q7/2R2nk1/p5p1/1p6/8/PP6/5PPP/3rQ1K1 b - - acn 1; acs 0; bm Rxe1#; ce 32766; dm 1; pv Rxe1#;
q7/2P5/8/b7/6k1/2nn4/5p2/K4b2 b - - acn 3; acs 0; bm Bb4# Bb6# Bxc7#; ce 32766; dm 1; pv Bb6#;
q7/2P5/8/8/2R5/5kp1/2Q2pN1/3R1K2 w - - acn 7; acs 0; bm Qb3# Qc3# Qd3# Qe2# Qf5# Rd3# Rf4#; ce 32766; dm 1; pv Rd3#;
q7/2N1P3/1k6/7p/5n1P/8/8/R5K1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/2K5/8/2k5/8/1r6/8/8 b - - acn 1; acs 0; bm Rb7#; ce 32766; dm 1; pv Rb7#;
q7/2K5/3Rbk2/8/2P5/7P/8/4r1b1 b - - acn 1; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
q7/2K5/2p4k/N2q3p/2P1p1bP/P3P3/4r3/6R1 b - - acn 3; acs 0; bm Qdd8#; ce 32766; dm 1; pv Qdd8#;
q7/2K1k2p/4P3/1B4pP/5r2/P1n5/7N/8 b - - acn 1; acs 0; bm Nd5#; ce 32766; dm 1; pv Nd5#;
q7/2B1p2p/Rnbrkpp1/5n2/7r/3ppp2/8/2Q1K3 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
q7/1rpp1BBk/p4P2/4P3/Q5p1/8/3PPP2/4KR2 w - - acn 3; acs 0; bm Qc2# Qe4# Rh1#; ce 32766; dm 1; pv Rh1#;
q7/1r6/3pNB2/p1pN1P2/n1P1Kp1r/2p2p1p/n1Rbk3/1b4QR w - - acn 5; acs 0; bm Qe1# Qf1#; ce 32766; dm 1; pv Qe1#;
q7/1r6/3pNB2/p1pN1P2/n1P1Kp1r/2p2p1p/n1Rbk3/1b4QR b - - acn 1; acs 0; bm Bxc2#; ce 32766; dm 1; pv Bxc2#;
q7/1r2N1KB/4pB2/7b/5kn1/5p2/4pp2/b7 b - - acn 2; acs 0; bm Bxf6# Rxe7#; ce 32766; dm 1; pv Bxf6#;
q7/1ppR3Q/n7/1N3bp1/r3k1PP/8/3P1P2/2N1KR2 w - - acn 1; acs 0; bm Qxf5#; ce 32766; dm 1; pv Qxf5#;
q7/1pp4p/b1p2PkP/rpK1P3/1pQ3Pp/4Bn1N/1r2n3/4bR2 b - - acn 4; acs 0; bm Qa7# Qf8# b6# bxc4#; ce 32766; dm 1; pv bxc4#;
q7/1pBPP1p1/pp1KR3/3Q1ppb/5kr1/2N4P/4PP1b/4N1n1 w - - acn 6; acs 0; bm Nd3# Qc4# Qd2# Qd4# Qe5# e3#; ce 32766; dm 1; pv e3#;
q7/1p6/r1p1p3/n2bpk2/PK3p2/r1pppP2/2P5/bn6 b - - acn 1; acs 0; bm Qf8#; ce 32766; dm 1; pv Qf8#;
q7/1p6/r1p1p3/n2bpk2/PK3p2/r1pPpP2/8/bn6 b - - acn 1; acs 0; bm Qf8#; ce 32766; dm 1; pv Qf8#;
q7/1p6/4Q3/8/1P3kpP/P5pb/1B1PPpn1/5K2 w - - acn 2; acs 0; bm Qe5#; ce 32766; dm 1; pv Qe5#;
q7/1p6/4Q3/8/1P3kpP/P5pb/1B1PPpn1/5K2 b - - acn 3; acs 0; bm Ne1# Ne3# Nxh4#; ce 32766; dm 1; pv Ne3#;
q7/1p6/3Q4/2RB3p/3k1N1R/7p/p3p3/N3K3 w - - acn 9; acs 0; bm Nc2#; ce 32766; dm 1; pv Nc2#;
q7/1p6/1N1p1B1Q/1P1Rn3/p4RN1/P1k2pp1/Pp1p1r2/1rnK4 w - - acn 1; acs 0; bm Rc4#; ce 32766; dm 1; pv Rc4#;
q7/1p6/1N1p1B1Q/1P1Rn3/p4RN1/P1k2pp1/Pp1p1r2/1rnK4 b - - acn 5; acs 0; bm Nb3# Ncd3# Ne2# Nxa2# Rf1#; ce 32766; dm 1; pv Nxa2#;
q7/1p5k/8/8/5p2/6p1/b1p3pP/K7 b - - acn 1; acs 0; bm c1=Q#; ce 32766; dm 1; pv c1=Q#;
q7/1p5k/8/8/5p2/6p1/b1p2Pp1/K7 b - - acn 1; acs 0; bm c1=Q#; ce 32766; dm 1; pv c1=Q#;
q7/1p5k/2Q1p3/1B6/P1P2P1B/1Pbn4/K2N4/Rr3N2 b - - acn 1; acs 0; bm Rxa1#; ce 32766; dm 1; pv Rxa1#;
q7/1p5R/n7/1rkN3R/1pN1B1Q1/n7/1B6/K7 w - - acn 8; acs 0; bm Ndb6# Nde3#; ce 32766; dm 1; pv Ndb6#;
q7/1p3k1p/1n1P1p2/pKR2P1P/8/8/8/N7 b - - acn 1; acs 0; bm Qa6#; ce 32766; dm 1; pv Qa6#;
q7/1p3R2/6Nk/5P2/3Q2PK/7R/6P1/8 w - - acn 5; acs 0; bm Qd2# Qe3# Qf4# Qg7# g5#; ce 32766; dm 1; pv g5#;
q7/1p1b4/4p3/8/1NN3rp/6p1/p2Q2P1/rk5K w - - acn 4; acs 0; bm Qb2# Qc2# Qd1# Qe1#; ce 32766; dm 1; pv Qd1#;
q7/1p1P1N1k/8/3P1NR1/2Q5/1p3P2/p2p3r/rb1K1nn1 w - - acn 1; acs 0; bm Rg7#; ce 32766; dm 1; pv Rg7#;
q7/1p1P1N1k/8/3P1NR1/2Q5/1p3P2/p2p3r/rb1K1nn1 b - - acn 4; acs 0; bm Bc2#; ce 32766; dm 1; pv Bc2#;
q7/1n5r/p1N3b1/5p1p/4Rp1P/3k1Kp1/Q1R1n1P1/N4B2 w - - acn 8; acs 0; bm Bxe2# Nb4# Ne5# Qa3# Qb3# Qc4# Qd5# Rd4#; ce 32766; dm 1; pv Nb4#;
q7/1n5r/p1N3b1/5p1p/4Rp1P/3k1Kp1/Q1R1n1P1/N4B2 b - - acn 1; acs 0; bm fxe4#; ce 32766; dm 1; pv fxe4#;
q7/1n5b/p1N5/3Q1p1p/3pR2P/3k1Kp1/2R1n1P1/N4B2 w - - acn 8; acs 0; bm Bxe2# Nb4# Ne5# Qb3# Qc4# Qxd4# Re3# Rxd4#; ce 32766; dm 1; pv Nb4#;
q7/1n2Q3/8/1Ppk1pp1/2p2pr1/2PpnK2/4r3/3b3R b - - acn 7; acs 0; bm Rg3#; ce 32766; dm 1; pv Rg3#;
q7/1k6/6b1/B5r1/K2B3P/4n3/1r6/8 b - - acn 2; acs 0; bm Qxa5# Rxa5#; ce 32766; dm 1; pv Rxa5#;
q7/1k6/1P6/8/3n4/8/4r3/2K1B1r1 b - - acn 2; acs 0; bm Qa1# Rgxe1#; ce 32766; dm 1; pv Rgxe1#;
q7/1k6/1P4N1/3P1r2/8/4b1p1/4r3/7K b - - acn 4; acs 0; bm Qa1# Rf1# Rh2#; ce 32766; dm 1; pv Rf1#;
q7/1k4r1/3Q2np/R2N1B2/3P3P/8/2q5/4B1K1 w - - acn 1; acs 0; bm Qb6#; ce 32766; dm 1; pv Qb6#;
q7/1brprp2/1R1pkp1R/1P1N2Qn/3pKp2/1P1PbPp1/4n3/8 w - - acn 3; acs 0; bm Qe5# Qf5# Qg4#; ce 32766; dm 1; pv Qe5#;
q7/1brprp2/1R1pkp1R/1P1N2Qn/3pKp2/1P1PbPp1/4n3/8 b - - acn 1; acs 0; bm Nc3#; ce 32766; dm 1; pv Nc3#;
q7/1br1bpr1/2p1B1pp/p1pPk2P/P3N1P1/BP2P3/2QK1PN1/1Rn3R1 w - - acn 2; acs 0; bm Bb2# f4#; ce 32766; dm 1; pv f4#;
q7/1bn5/1p2p3/r2Pp3/2k5/5Q2/1RPP3P/6BK w - - acn 4; acs 0; bm Qb3# Qd3# Qe4#; ce 32766; dm 1; pv Qe4#;
q7/1bQ1pP2/6B1/p2N2Pn/P7/6pp/pPpp3p/1rrk1K1n w - - acn 3; acs 0; bm Bxh5# Nc3# Ne3#; ce 32766; dm 1; pv Nc3#;
q7/1bQ1pP2/6B1/p2N2Pn/P7/6pp/pPpp3p/1rrk1K1n b - - acn 1; acs 0; bm g2#; ce 32766; dm 1; pv g2#;
q7/1b6/N1PPPP2/8/1K4Q1/1P6/5R2/7k w - - acn 2; acs 0; bm Qd1# Qg2#; ce 32766; dm 1; pv Qd1#;
q7/1b6/2n5/Qp1P4/1N3pBp/2BpP1kP/2pR2p1/2r1n1K1 b - - acn 1; acs 0; bm Nf3#; ce 32766; dm 1; pv Nf3#;
q7/1b1r4/4P1Np/1R3Qnk/5P2/6p1/4RpN1/3BbrnK b - - acn 4; acs 0; bm Bxg2# N1f3# N1h3# Nxe2#; ce 32766; dm 1; pv Nxe2#;
q7/1b1P1R2/4k1P1/p2r3N/NBQp1Pp1/2PBb1P1/6KP/4R3 w - - acn 6; acs 0; bm Bf5# Ng7# Re7#; ce 32766; dm 1; pv Ng7#;
q7/1R1R2BB/4k3/1N2N2K/8/8/8/6Q1 w - - acn 7; acs 0; bm Nc7# Nd4# Qb6# Qg4# Qg6# Rd6#; ce 32766; dm 1; pv Nd4#;
q7/1QK1R3/r3r1np/3b4/4kPp1/3p4/8/8 b - - acn 1; acs 0; bm Rxe7#; ce 32766; dm 1; pv Rxe7#;
q7/1Q6/3k3p/p1N1pPb1/5R2/B3K2P/1p6/3B1b2 w - - acn 8; acs 0; bm Na4# Na6# Nb3# Nd3# Nd7# Ne4# Ne6# Qd7#; ce 32766; dm 1; pv Na6#;
q7/1Pkb4/n7/2r5/7p/8/2R2p2/2r3QK b - - acn 1; acs 0; bm fxg1=Q#; ce 32766; dm 1; pv fxg1=Q#;
q7/1PN5/2Q3P1/2P2R2/3k3p/3p3P/3K4/2BRNB1R b - - acn 1; acs 0; bm Qa5#; ce 32766; dm 1; pv Qa5#;
q7/1PB5/2P2r2/p1kP1b2/K7/PQ2PB2/1NpP1n2/n1R5 w - - acn 5; acs 0; bm Qb5# Qb6# Qc3# Qc4# d4#; ce 32766; dm 1; pv d4#;
q7/1P6/8/8/1p4p1/kP1Np1P1/3pK3/2N5 w - - acn 2; acs 0; bm bxa8=Q# bxa8=R#; ce 32766; dm 1; pv bxa8=Q#;
q7/1P6/8/8/1B6/2K5/1RQ5/7k w - - acn 6; acs 0; bm Qb1# Qc1# Qd1# Qg2# Qh2# Rb1#; ce 32766; dm 1; pv Rb1#;
q7/1P4pr/6pr/8/2pNP3/8/kP2N2R/2Q3RK w - - acn 6; acs 0; bm Nc3# Qa1# Qb1# bxa8=Q# bxa8=R#; ce 32766; dm 1; pv bxa8=Q#;
q7/1P4pr/6pr/8/2pNP3/8/kP2N2R/2Q3RK b - - acn 1; acs 0; bm Rxh2#; ce 32766; dm 1; pv Rxh2#;
q7/1B6/4P1P1/1k6/7K/p7/6r1/6Bb b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/1B4Q1/3p4/2B2k1p/4p2P/2PN4/1R2P2N/1RbK4 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
q6r/rnp3bp/p1bpp2k/1p2P1p1/PPPNB1QP/N5K1/1B1P1P2/RR6 w - - acn 2; acs 0; bm Qxg5# hxg5#; ce 32766; dm 1; pv hxg5#;
q6r/r1pb2bk/2np2N1/1p1K1p1p/pPPP3P/P5P1/R2N4/2BBR3 b - - acn 7; acs 0; bm Na5# Nb8# Nd8# Ne5# Ne7# Nxb4# Nxd4#; ce 32766; dm 1; pv Na5#;
q6r/p4K2/P7/8/6k1/2b5/6n1/6n1 b - - acn 1; acs 0; bm Qe8#; ce 32766; dm 1; pv Qe8#;
q6r/8/8/6B1/7R/kb6/2p1p3/K1b1r2Q w - - acn 1; acs 0; bm Be7#; ce 32766; dm 1; pv Be7#;
q6r/8/8/6B1/7R/kb6/2p1p3/K1b1r2Q b - - acn 5; acs 0; bm Bb2#; ce 32766; dm 1; pv Bb2#;
q6r/6bk/2bR4/1p2P2p/1P5P/8/3r4/5KB1 b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
q6r/6B1/nK6/3p3p/8/nQ6/6RR/2k5 w - - acn 3; acs 0; bm Rg1# Rh1#; ce 32766; dm 1; pv Rh1#;
q6r/5p1Q/B3pP1K/3p4/2P1b1r1/2Pkn1R1/3pN1R1/8 b - - acn 1; acs 0; bm Rxh7#; ce 32766; dm 1; pv Rxh7#;
q6r/5n1k/4b1r1/B6p/5p2/3P4/6RK/8 b - - acn 1; acs 0; bm Qxg2#; ce 32766; dm 1; pv Qxg2#;
q6r/5k1N/p2pp2b/2pr3p/PP2K2P/3PPP2/2P1B2n/1RB4R b - - acn 4; acs 0; bm Rd4# Re5# Rf5#; ce 32766; dm 1; pv Re5#;
q6r/4k3/4p3/1pp3pn/PQP5/P5pr/3P4/B3R1KR b - - acn 2; acs 0; bm Qxh1# Rxh1#; ce 32766; dm 1; pv Rxh1#;
q6r/4b1k1/2n1Kn2/8/7r/8/pppppppp/1RNBBNR1 b - - acn 1; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
q6r/4N3/2R5/4k1b1/8/4r1p1/5p1N/5b1K b - - acn 2; acs 0; bm Rxh2# g2#; ce 32766; dm 1; pv g2#;
q6r/4Bp2/3pp3/4Pk2/7r/5b2/5pNN/7K b - - acn 5; acs 0; bm Bxg2# Qa1# Rxh2# f1=Q# f1=R#; ce 32766; dm 1; pv f1=Q#;
q6r/2p1P1bp/1r2p3/1PN5/1PPk2pn/B2P1b1N/5P1P/4RRK1 w - - acn 1; acs 0; bm Bb2#; ce 32766; dm 1; pv Bb2#;
q6r/1ppP1Pp1/2p5/1pK4R/1P1Q4/P3R1NP/1P3kPp/4N1b1 w - - acn 5; acs 0; bm Qd2# Qf4# Rf5#; ce 32766; dm 1; pv Rf5#;
q6r/1ppP1Pp1/2p5/1pK4R/1P1Q4/P3R1NP/1P3kPp/4N1b1 b - - acn 2; acs 0; bm Qa7# b6#; ce 32766; dm 1; pv b6#;
q6r/1p3kb1/r6p/3P3P/pn4n1/PP4P1/4p1B1/RN4KR b - - acn 4; acs 0; bm Bd4# Qa7#; ce 32766; dm 1; pv Bd4#;
q6r/1p2KppR/Bn1np1k1/4b1p1/5p2/2Rr4/8/8 b - - acn 7; acs 0; bm Bf6# Nf5# Qd8# Qe8# Qf8# Re8#; ce 32766; dm 1; pv Nf5#;
q6r/1BPP4/6p1/1Q6/3pn2r/2R1b1pk/4np2/3N1b1K b - - acn 3; acs 0; bm Bg2# Kg4# g2#; ce 32766; dm 1; pv g2#;
q6n/p1n2pp1/p1kN1Rp1/P1N1K3/2R5/2r5/5p2/b7 b - - acn 1; acs 0; bm Rxc4#; ce 32766; dm 1; pv Rxc4#;
q6n/1r2Nb2/1PR5/7p/6kp/2pP1p1N/p4P1R/r1b3K1 b - - acn 7; acs 0; bm Ba3# Bb2# Bd2# Be3# Bf4# Bg5# Bh6#; ce 32766; dm 1; pv Bd2#;
q6n/1Q6/4P2N/4k1K1/RN6/7B/8/3Rb1B1 w - - acn 9; acs 0; bm Nc6#; ce 32766; dm 1; pv Nc6#;
q6k/n1pbn2B/pr1pp1p1/PpP1P1Pp/1P1K1p1B/3P3N/1r3P1P/b1RNR2Q b - - acn 8; acs 0; bm Rxb4#; ce 32766; dm 1; pv Rxb4#;
q6k/QPPP2R1/6K1/8/4n1R1/8/8/8 w - - acn 10; acs 0; bm Qxa8# Rh4# bxa8=Q# bxa8=R#; ce 32766; dm 1; pv bxa8=Q#;
q6k/PQ2P3/6P1/7N/8/8/BR6/BK6 w - - acn 14; acs 0; bm Qxa8# Rb4# Rb5# Rb6# Rc2# Rd2# Re2# Rf2# Rg2# Rh2#; ce 32766; dm 1; pv Rc2#;
q6k/PQ2P3/6P1/7N/6P1/8/BRP5/BK6 w - - acn 8; acs 0; bm Qxa8# Rb4# Rb5# Rb6#; ce 32766; dm 1; pv Rb4#;
q6k/8/r7/8/1b6/7K/8/6r1 b - - acn 2; acs 0; bm Qh1# Rh6#; ce 32766; dm 1; pv Rh6#;
q6k/8/8/5B2/8/2ppr3/8/b2K4 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q6k/7n/4n1Q1/5N2/5p1N/4b3/6PP/7K b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
q6k/7P/8/8/8/p7/R7/K6Q b - - acn 1; acs 0; bm Qxh1#; ce 32766; dm 1; pv Qxh1#;
